title,price,star_rating,availability,category,price_gbp,rating,in_stock,price_inr
The Mysterious Affair at Styles (Hercule Poirot #1),£24.80,Four,In stock,Mystery,24.8,4,True,2616.4
In the Woods (Dublin Murder Squad #1),£38.38,Two,In stock,Mystery,38.38,2,True,4049.09
The Silkworm (Cormoran Strike #2),£23.05,Five,In stock,Mystery,23.05,5,True,2431.78
The Exiled,£43.45,Three,In stock,Mystery,43.45,3,True,4583.98
The Cuckoo's Calling (Cormoran Strike #1),£19.21,One,In stock,Mystery,19.21,1,True,2026.66
Extreme Prey (Lucas Davenport #26),£25.40,Three,In stock,Mystery,25.4,3,True,2679.7
Career of Evil (Cormoran Strike #3),£24.72,Two,In stock,Mystery,24.72,2,True,2607.96
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),£57.70,Four,In stock,Mystery,57.7,4,True,6087.35
The Girl You Lost,£12.29,Five,In stock,Mystery,12.29,5,True,1296.59
The Girl In The Ice (DCI Erika Foster #1),£15.85,Three,In stock,Mystery,15.85,3,True,1672.18
Blood Defense (Samantha Brinkman #1),£20.30,Three,In stock,Mystery,20.3,3,True,2141.65
1st to Die (Women's Murder Club #1),£53.98,One,In stock,Mystery,53.98,1,True,5694.89
Tipping the Velvet,£53.74,One,In stock,Historical Fiction,53.74,1,True,5669.57
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,Three,In stock,Historical Fiction,29.69,3,True,3132.3
A Flight of Arrows (The Pathfinders #2),£55.53,Five,In stock,Historical Fiction,55.53,5,True,5858.42
The House by the Lake,£36.95,One,In stock,Historical Fiction,36.95,1,True,3898.23
Mrs. Houdini,£30.25,Five,In stock,Historical Fiction,30.25,5,True,3191.38
The Marriage of Opposites,£28.08,Four,In stock,Historical Fiction,28.08,4,True,2962.44
Glory over Everything: Beyond The Kitchen House,£45.84,Three,In stock,Historical Fiction,45.84,3,True,4836.12
"Love, Lies and Spies",£20.55,Two,In stock,Historical Fiction,20.55,2,True,2168.02
A Paris Apartment,£39.01,Four,In stock,Historical Fiction,39.01,4,True,4115.55
Lilac Girls,£17.28,Two,In stock,Historical Fiction,17.28,2,True,1823.04
The Constant Princess (The Tudor Court #1),£16.62,Three,In stock,Historical Fiction,16.62,3,True,1753.41
The Invention of Wings,£37.34,One,In stock,Historical Fiction,37.34,1,True,3939.37
World Without End (The Pillars of the Earth #2),£32.97,Four,In stock,Historical Fiction,32.97,4,True,3478.34
The Passion of Dolssa,£28.32,Five,In stock,Historical Fiction,28.32,5,True,2987.76
Girl With a Pearl Earring,£26.77,One,In stock,Historical Fiction,26.77,1,True,2824.24
Voyager (Outlander #3),£21.07,Five,In stock,Historical Fiction,21.07,5,True,2222.89
The Red Tent,£35.66,Five,In stock,Historical Fiction,35.66,5,True,3762.13
The Last Painting of Sara de Vos,£55.55,Two,In stock,Historical Fiction,55.55,2,True,5860.52
The Guernsey Literary and Potato Peel Pie Society,£49.53,One,In stock,Historical Fiction,49.53,1,True,5225.42
Girl in the Blue Coat,£46.83,Two,In stock,Historical Fiction,46.83,2,True,4940.56
Between Shades of Gray,£20.79,Five,In stock,Historical Fiction,20.79,5,True,2193.34
While You Were Mine,£41.32,Five,In stock,Historical Fiction,41.32,5,True,4359.26
The Secret Healer,£34.56,Three,In stock,Historical Fiction,34.56,3,True,3646.08
Starlark,£25.83,Three,In stock,Historical Fiction,25.83,3,True,2725.06
Lost Among the Living,£27.70,Four,In stock,Historical Fiction,27.7,4,True,2922.35
A Spy's Devotion (The Regency Spies of London #1),£16.97,Five,In stock,Historical Fiction,16.97,5,True,1790.33
Chase Me (Paris Nights #2),£25.27,Five,In stock,Romance,25.27,5,True,2665.98
Black Dust,£34.53,Five,In stock,Romance,34.53,5,True,3642.92
Her Backup Boyfriend (The Sorensen Family #1),£33.97,One,In stock,Romance,33.97,1,True,3583.84
First and First (Five Boroughs #3),£15.97,Four,In stock,Romance,15.97,4,True,1684.84
Fifty Shades Darker (Fifty Shades #2),£21.96,One,In stock,Romance,21.96,1,True,2316.78
The Wedding Dress,£24.12,One,In stock,Romance,24.12,1,True,2544.66
Suddenly in Love (Lake Haven #1),£55.99,Two,In stock,Romance,55.99,2,True,5906.95
Something More Than This,£16.24,Four,In stock,Romance,16.24,4,True,1713.32
Doing It Over (Most Likely To #1),£35.61,Three,In stock,Romance,35.61,3,True,3756.86
The Wedding Pact (The O'Malleys #2),£32.61,Three,In stock,Romance,32.61,3,True,3440.36
Hold Your Breath (Search and Rescue #1),£28.82,One,In stock,Romance,28.82,1,True,3040.51
Dirty (Dive Bar #1),£40.83,Four,In stock,Romance,40.83,4,True,4307.56
Take Me Home Tonight (Rock Star Romance #3),£53.98,Three,In stock,Romance,53.98,3,True,5694.89
Off the Hook (Fishing for Trouble #1),£47.67,Three,In stock,Romance,47.67,3,True,5029.19
A Gentleman's Position (Society of Gentlemen #3),£14.75,Five,In stock,Romance,14.75,5,True,1556.12
"Sit, Stay, Love",£20.90,Three,In stock,Romance,20.9,3,True,2204.95
A Girl's Guide to Moving On (New Beginnings #2),£31.30,One,In stock,Romance,31.3,1,True,3302.15
The Perfect Play (Play by Play #1),£59.99,Three,In stock,Romance,59.99,3,True,6328.95
Dark Lover (Black Dagger Brotherhood #1),£12.87,One,In stock,Romance,12.87,1,True,1357.78
Changing the Game (Play by Play #2),£13.38,Three,In stock,Romance,13.38,3,True,1411.59
A Walk to Remember,£56.43,One,In stock,Romance,56.43,1,True,5953.36
The Purest Hook (Second Circle Tattoos #3),£12.25,One,In stock,Romance,12.25,1,True,1292.38
The Obsession,£45.43,One,In stock,Romance,45.43,1,True,4792.86
Reservations for Two,£11.10,Three,In stock,Romance,11.1,3,True,1171.05
Best of My Love (Fool's Gold #20),£27.41,Two,In stock,Romance,27.41,2,True,2891.76
Where Lightning Strikes (Bleeding Stars #3),£39.77,Three,In stock,Romance,39.77,3,True,4195.74
This One Moment (Pushing Limits #1),£48.71,One,In stock,Romance,48.71,1,True,5138.9
"Rhythm, Chord & Malykhin",£28.34,Two,In stock,Romance,28.34,2,True,2989.87
My Perfect Mistake (Over the Top #1),£38.92,Two,In stock,Romance,38.92,2,True,4106.06
Listen to Me (Fusion #1),£58.99,Three,In stock,Romance,58.99,3,True,6223.45
Imperfect Harmony,£34.74,Four,In stock,Romance,34.74,4,True,3665.07
Fighting Fate (Fighting #6),£39.24,Three,In stock,Romance,39.24,3,True,4139.82
Deep Under (Walker Security #1),£47.09,Five,In stock,Romance,47.09,5,True,4968.0
Charity's Cross (Charles Towne Belles #4),£41.24,One,In stock,Romance,41.24,1,True,4350.82
Bounty (Colorado Mountain #7),£37.26,Four,In stock,Romance,37.26,4,True,3930.93
Soumission,£50.10,One,In stock,Fiction,50.1,1,True,5285.55
Private Paris (Private #10),£47.61,Five,In stock,Fiction,47.61,5,True,5022.85
"We Love You, Charlie Freeman",£50.27,Five,In stock,Fiction,50.27,5,True,5303.48
Thirst,£17.27,Five,In stock,Fiction,17.27,5,True,1821.98
The Murder That Never Was (Forensic Instincts #5),£54.11,Three,In stock,Fiction,54.11,3,True,5708.6
Tuesday Nights in 1980,£21.04,Two,In stock,Fiction,21.04,2,True,2219.72
The Vacationers,£42.15,Four,In stock,Fiction,42.15,4,True,4446.82
The Regional Office Is Under Attack!,£51.36,Five,In stock,Fiction,51.36,5,True,5418.48
Finders Keepers (Bill Hodges Trilogy #2),£53.53,Five,In stock,Fiction,53.53,5,True,5647.42
The Time Keeper,£27.88,Five,In stock,Fiction,27.88,5,True,2941.34
The Testament of Mary,£52.67,Four,In stock,Fiction,52.67,4,True,5556.68
The First Hostage (J.B. Collins #2),£25.85,Three,In stock,Fiction,25.85,3,True,2727.18
Take Me with You,£45.21,Three,In stock,Fiction,45.21,3,True,4769.66
Still Life with Bread Crumbs,£26.41,Three,In stock,Fiction,26.41,3,True,2786.26
Shtum,£55.84,Four,In stock,Fiction,55.84,4,True,5891.12
My Name Is Lucy Barton,£41.56,One,In stock,Fiction,41.56,1,True,4384.58
My Mrs. Brown,£24.48,Three,In stock,Fiction,24.48,3,True,2582.64
Mr. Mercedes (Bill Hodges Trilogy #1),£28.90,One,In stock,Fiction,28.9,1,True,3048.95
I Am Pilgrim (Pilgrim #1),£10.60,Four,In stock,Fiction,10.6,4,True,1118.3
Eligible (The Austen Project #4),£27.09,Three,In stock,Fiction,27.09,3,True,2858.0
Eight Hundred Grapes,£14.39,Four,In stock,Fiction,14.39,4,True,1518.14
Dear Mr. Knightley,£11.21,Five,In stock,Fiction,11.21,5,True,1182.66
Cometh the Hour (The Clifton Chronicles #6),£25.01,Three,In stock,Fiction,25.01,3,True,2638.56
Balloon Animals,£17.03,Three,In stock,Fiction,17.03,3,True,1796.67
A Man Called Ove,£39.72,One,In stock,Fiction,39.72,1,True,4190.46
The Silent Sister (Riley MacPherson #1),£46.29,Five,In stock,Fiction,46.29,5,True,4883.6
The Dinner Party,£56.54,Two,In stock,Fiction,56.54,2,True,5964.97
The Improbability of Love,£59.45,One,In stock,Fiction,59.45,1,True,6271.98
Mothering Sunday,£13.34,Two,In stock,Fiction,13.34,2,True,1407.37
Lies and Other Acts of Love,£45.14,One,In stock,Fiction,45.14,1,True,4762.27
Daredevils,£16.34,Three,In stock,Fiction,16.34,3,True,1723.87
11/22/63,£48.48,Three,In stock,Fiction,48.48,3,True,5114.64
The Shack,£28.03,One,In stock,Fiction,28.03,1,True,2957.16
The High Mountains of Portugal,£51.15,One,In stock,Fiction,51.15,1,True,5396.32
Miller's Valley,£58.54,Two,In stock,Fiction,58.54,2,True,6175.97
Hystopia: A Novel,£21.96,Four,In stock,Fiction,21.96,4,True,2316.78
The Bourne Identity (Jason Bourne #1),£42.78,Four,In stock,Fiction,42.78,4,True,4513.29
Sister Dear,£40.20,Four,In stock,Fiction,40.2,4,True,4241.1
Memoirs of a Geisha,£49.67,Three,In stock,Fiction,49.67,3,True,5240.19
Me Before You (Me Before You #1),£19.02,One,In stock,Fiction,19.02,1,True,2006.61
Deception Point,£40.32,Four,In stock,Fiction,40.32,4,True,4253.76
The Little Paris Bookshop,£24.73,Three,In stock,Fiction,24.73,3,True,2609.02
The Firm,£45.56,Three,In stock,Fiction,45.56,3,True,4806.58
The Expatriates,£44.58,Two,In stock,Fiction,44.58,2,True,4703.19
Siddhartha,£34.22,Five,In stock,Fiction,34.22,5,True,3610.21
Last One Home (New Beginnings #1),£59.98,Three,In stock,Fiction,59.98,3,True,6327.89
Digital Fortress,£58.00,Five,In stock,Fiction,58.0,5,True,6119.0
Atlas Shrugged,£26.58,Five,In stock,Fiction,26.58,5,True,2804.19
Three-Martini Lunch,£23.21,Three,In stock,Fiction,23.21,3,True,2448.66
The Nightingale,£26.26,Four,In stock,Fiction,26.26,4,True,2770.43
The Infinities,£27.41,One,In stock,Fiction,27.41,1,True,2891.76
The Husband's Secret,£52.51,Five,In stock,Fiction,52.51,5,True,5539.8
The Da Vinci Code (Robert Langdon #2),£22.96,Two,In stock,Fiction,22.96,2,True,2422.28
The Art of Fielding,£22.10,One,In stock,Fiction,22.1,1,True,2331.55
Lila (Gilead #3),£12.47,Three,In stock,Fiction,12.47,3,True,1315.58
Jurassic Park (Jurassic Park #1),£44.97,One,In stock,Fiction,44.97,1,True,4744.34
Inferno (Robert Langdon #4),£41.00,Five,In stock,Fiction,41.0,5,True,4325.5
Crazy Rich Asians (Crazy Rich Asians #1),£49.13,Five,In stock,Fiction,49.13,5,True,5183.22
Big Little Lies,£22.11,One,In stock,Fiction,22.11,1,True,2332.6
The Course of Love,£16.78,Three,In stock,Fiction,16.78,3,True,1770.29
When I'm Gone,£51.96,Three,In stock,Fiction,51.96,3,True,5481.78
The Silent Wife,£12.34,Five,In stock,Fiction,12.34,5,True,1301.87
The Bette Davis Club,£30.66,Three,In stock,Fiction,30.66,3,True,3234.63
Kitchens of the Great Midwest,£57.20,Five,In stock,Fiction,57.2,5,True,6034.6
Bright Lines,£39.07,Five,In stock,Fiction,39.07,5,True,4121.88
