title,price,star_rating,availability,category
The Passion of Dolssa,£28.32,Five,In stock,Historical Fiction
Girl With a Pearl Earring,£26.77,One,In stock,Historical Fiction
Voyager (Outlander #3),£21.07,Five,In stock,Historical Fiction
The Red Tent,£35.66,Five,In stock,Historical Fiction
The Last Painting of Sara de Vos,£55.55,Two,In stock,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,£49.53,One,In stock,Historical Fiction
Girl in the Blue Coat,£46.83,Two,In stock,Historical Fiction
Between Shades of Gray,£20.79,Five,In stock,Historical Fiction
While You Were Mine,£41.32,Five,In stock,Historical Fiction
The Secret Healer,£34.56,Three,In stock,Historical Fiction
Starlark,£25.83,Three,In stock,Historical Fiction
Lost Among the Living,£27.70,Four,In stock,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),£16.97,Five,In stock,Historical Fiction
Chase Me (Paris Nights #2),£25.27,Five,In stock,Romance
Black Dust,£34.53,Five,In stock,Romance
Her Backup Boyfriend (The Sorensen Family #1),£33.97,One,In stock,Romance
First and First (Five Boroughs #3),£15.97,Four,In stock,Romance
Fifty Shades Darker (Fifty Shades #2),£21.96,One,In stock,Romance
The Wedding Dress,£24.12,One,In stock,Romance
Suddenly in Love (Lake Haven #1),£55.99,Two,In stock,Romance
Something More Than This,£16.24,Four,In stock,Romance
Doing It Over (Most Likely To #1),£35.61,Three,In stock,Romance
The Wedding Pact (The O'Malleys #2),£32.61,Three,In stock,Romance
Hold Your Breath (Search and Rescue #1),£28.82,One,In stock,Romance
Dirty (Dive Bar #1),£40.83,Four,In stock,Romance
Take Me Home Tonight (Rock Star Romance #3),£53.98,Three,In stock,Romance
Off the Hook (Fishing for Trouble #1),£47.67,Three,In stock,Romance
A Gentleman's Position (Society of Gentlemen #3),£14.75,Five,In stock,Romance
"Sit, Stay, Love",£20.90,Three,In stock,Romance
A Girl's Guide to Moving On (New Beginnings #2),£31.30,One,In stock,Romance
The Perfect Play (Play by Play #1),£59.99,Three,In stock,Romance
Dark Lover (Black Dagger Brotherhood #1),£12.87,One,In stock,Romance
Changing the Game (Play by Play #2),£13.38,Three,In stock,Romance
A Walk to Remember,£56.43,One,In stock,Romance
The Purest Hook (Second Circle Tattoos #3),£12.25,One,In stock,Romance
The Obsession,£45.43,One,In stock,Romance
Reservations for Two,£11.10,Three,In stock,Romance
Best of My Love (Fool's Gold #20),£27.41,Two,In stock,Romance
Where Lightning Strikes (Bleeding Stars #3),£39.77,Three,In stock,Romance
This One Moment (Pushing Limits #1),£48.71,One,In stock,Romance
"Rhythm, Chord & Malykhin",£28.34,Two,In stock,Romance
My Perfect Mistake (Over the Top #1),£38.92,Two,In stock,Romance
Listen to Me (Fusion #1),£58.99,Three,In stock,Romance
Imperfect Harmony,£34.74,Four,In stock,Romance
Fighting Fate (Fighting #6),£39.24,Three,In stock,Romance
Deep Under (Walker Security #1),£47.09,Five,In stock,Romance
Charity's Cross (Charles Towne Belles #4),£41.24,One,In stock,Romance
Bounty (Colorado Mountain #7),£37.26,Four,In stock,Romance
Soumission,£50.10,One,In stock,Fiction
Private Paris (Private #10),£47.61,Five,In stock,Fiction
"We Love You, Charlie Freeman",£50.27,Five,In stock,Fiction
Thirst,£17.27,Five,In stock,Fiction
The Murder That Never Was (Forensic Instincts #5),£54.11,Three,In stock,Fiction
Tuesday Nights in 1980,£21.04,Two,In stock,Fiction
The Vacationers,£42.15,Four,In stock,Fiction
The Regional Office Is Under Attack!,£51.36,Five,In stock,Fiction
Finders Keepers (Bill Hodges Trilogy #2),£53.53,Five,In stock,Fiction
The Time Keeper,£27.88,Five,In stock,Fiction
The Testament of Mary,£52.67,Four,In stock,Fiction
The First Hostage (J.B. Collins #2),£25.85,Three,In stock,Fiction
Take Me with You,£45.21,Three,In stock,Fiction
Still Life with Bread Crumbs,£26.41,Three,In stock,Fiction
Shtum,£55.84,Four,In stock,Fiction
My Name Is Lucy Barton,£41.56,One,In stock,Fiction
My Mrs. Brown,£24.48,Three,In stock,Fiction
Mr. Mercedes (Bill Hodges Trilogy #1),£28.90,One,In stock,Fiction
I Am Pilgrim (Pilgrim #1),£10.60,Four,In stock,Fiction
Eligible (The Austen Project #4),£27.09,Three,In stock,Fiction
Eight Hundred Grapes,£14.39,Four,In stock,Fiction
Dear Mr. Knightley,£11.21,Five,In stock,Fiction
Cometh the Hour (The Clifton Chronicles #6),£25.01,Three,In stock,Fiction
Balloon Animals,£17.03,Three,In stock,Fiction
A Man Called Ove,£39.72,One,In stock,Fiction
The Silent Sister (Riley MacPherson #1),£46.29,Five,In stock,Fiction
The Dinner Party,£56.54,Two,In stock,Fiction
The Improbability of Love,£59.45,One,In stock,Fiction
Mothering Sunday,£13.34,Two,In stock,Fiction
Lies and Other Acts of Love,£45.14,One,In stock,Fiction
Daredevils,£16.34,Three,In stock,Fiction
11/22/63,£48.48,Three,In stock,Fiction
The Shack,£28.03,One,In stock,Fiction
The High Mountains of Portugal,£51.15,One,In stock,Fiction
Miller's Valley,£58.54,Two,In stock,Fiction
Hystopia: A Novel,£21.96,Four,In stock,Fiction
The Bourne Identity (Jason Bourne #1),£42.78,Four,In stock,Fiction
Sister Dear,£40.20,Four,In stock,Fiction
Memoirs of a Geisha,£49.67,Three,In stock,Fiction
Me Before You (Me Before You #1),£19.02,One,In stock,Fiction
Deception Point,£40.32,Four,In stock,Fiction
The Little Paris Bookshop,£24.73,Three,In stock,Fiction
The Firm,£45.56,Three,In stock,Fiction
The Expatriates,£44.58,Two,In stock,Fiction
Siddhartha,£34.22,Five,In stock,Fiction
Last One Home (New Beginnings #1),£59.98,Three,In stock,Fiction
Digital Fortress,£58.00,Five,In stock,Fiction
Atlas Shrugged,£26.58,Five,In stock,Fiction
Three-Martini Lunch,£23.21,Three,In stock,Fiction
The Nightingale,£26.26,Four,In stock,Fiction
The Infinities,£27.41,One,In stock,Fiction
The Husband's Secret,£52.51,Five,In stock,Fiction
The Da Vinci Code (Robert Langdon #2),£22.96,Two,In stock,Fiction
The Art of Fielding,£22.10,One,In stock,Fiction
Lila (Gilead #3),£12.47,Three,In stock,Fiction
Jurassic Park (Jurassic Park #1),£44.97,One,In stock,Fiction
Inferno (Robert Langdon #4),£41.00,Five,In stock,Fiction
Crazy Rich Asians (Crazy Rich Asians #1),£49.13,Five,In stock,Fiction
Big Little Lies,£22.11,One,In stock,Fiction
The Course of Love,£16.78,Three,In stock,Fiction
When I'm Gone,£51.96,Three,In stock,Fiction
The Silent Wife,£12.34,Five,In stock,Fiction
The Bette Davis Club,£30.66,Three,In stock,Fiction
Kitchens of the Great Midwest,£57.20,Five,In stock,Fiction
Bright Lines,£39.07,Five,In stock,Fiction
